1,"Got this in lightning deal for Rs.379 and for the price this is the best earphone you can buy right now
- Everyone have different different taste of sound so will depend on personal preference",2018-01-02
2,Shoes were fine for a month but Actually its projection is slightly daunted since they were off the sole as soon as freelook period expires. Interesting coincidence.,2018-08-10
3,I had almost returned this watch as I felt it was not charging. On browsing the net I found that if the eco-drive watch is completely discharged it needs a many hours under natural light - direct sunshine to get it sufficiently charged.,2018-12-09
4,Although its too early (7days) to review a product but still I am satisfied with the quality of this shoe comparing to its price. I brought the grey -orange one. I feel it a bit too Orangeeee....,2017-12-09
5,This is an excellent little bag.I bought this croc bag to carry my power bank and data cords.,2018-01-06
6,"I have an Indian Pariah and she wont eat it.
Taste is Moderate but the same flavoured sample pack has different size of keebles and smell.
I bought the bigger pack based on that.
So a bit misguiding.",2019-01-08
7,"Overall, love it. After the 3rd time plucking, almost dont feel it on my legs. Hurts like crazy in the armpits and around the bikini line, but I keep doing it a bit at a time, and no rash! (shaving infallibly gives me rash ",2019-04-04
8,"Was looking for a wash for my beard. Didnt found many in this price range. Works fine. Feels nice and cool when applied. Not sure if it is making my skin too rough. No effect on dandruff though, was hoping it would eliminate.",2018-01-09
9,"The product was over all good and I liked it
But the contents in it doesnt appear to be 100 grms. It seems to be less than what it is shown.",2019-06-05
10,Outside it looks like a flower from a bouquet. But when u open it u get a surprise gift from ur beloved ones. Interesting product. There wasnt any default in the product. Good one,2019-05-04